Species	GeneID	Length_aa	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs_eggnog	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs_eggnog	COG_description	GOs_interproscan	GOs_union	InterPro_IDs	InterPro_description	Domains	n_domains	iprscan_hit
Fusarium_aberrans__CBS_119866	g10.t1	107	5127.CCT72687	7.42e-18	79.3	"2CU56@1|root,2RJAI@2759|Eukaryota,38P01@33154|Opisthokonta,3PQVH@4751|Fungi,3RACB@4890|Ascomycota,21GCD@147550|Sordariomycetes,3TNM5@5125|Hypocreales,1FVS5@110618|Nectriaceae"	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0
Fusarium_aberrans__CBS_119866	g11.t1	675	5127.CCT75100	1.19e-301	845.0	"29SVX@1|root,2RXEV@2759|Eukaryota,39JIR@33154|Opisthokonta,3NXMW@4751|Fungi,3R156@4890|Ascomycota,21AGN@147550|Sordariomycetes,3TM6U@5125|Hypocreales,1FVXU@110618|Nectriaceae"	4751|Fungi	S	c6 finger domain protein	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	"GO:0000976,GO:0000981,GO:0003700,GO:0005634,GO:0006355,GO:0008270,GO:0045944"	"GO:0000976,GO:0000981,GO:0003700,GO:0005634,GO:0006355,GO:0008270,GO:0045944"	"IPR001138,IPR036864"	Zn(2)-C6 fungal-type DNA-binding domain superfamily; Zn(2)Cys(6) fungal-type DNA-binding domain	Gene3D:G3DSA:4.10.240.10; PANTHER:PTHR37534; Pfam:PF00172; ProSitePatterns:PS00463; ProSiteProfiles:PS50048; SMART:SM00066; SUPERFAMILY:SSF57701	7	1
Fusarium_aberrans__CBS_119866	g12.t1	278	5507.FOXG_10226P0	3.54e-192	534.0	"2CZS0@1|root,2SBFV@2759|Eukaryota,3A87R@33154|Opisthokonta,3P7J3@4751|Fungi,3QYYP@4890|Ascomycota,21NAC@147550|Sordariomycetes,3TWDN@5125|Hypocreales,1FTXF@110618|Nectriaceae"	4751|Fungi	S	Protein of unknown function (DUF861)	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	-	-	"IPR008579,IPR011051,IPR014710"	"(S)-ureidoglycine aminohydrolase, cupin domain; RmlC-like cupin domain superfamily; RmlC-like jelly roll fold"	Gene3D:G3DSA:2.60.120.10; PANTHER:PTHR40943; Pfam:PF05899; SUPERFAMILY:SSF51182	4	1
Fusarium_aberrans__CBS_119866	g13.t1	1084	1051613.XP_003006287.1	2.25e-92	328.0	"COG0666@1|root,KOG4177@2759|Eukaryota,38BVK@33154|Opisthokonta,3NW9Q@4751|Fungi,3QJDH@4890|Ascomycota,214TU@147550|Sordariomycetes,1EZRM@1028384|Glomerellales"	4751|Fungi	M	Ankyrin repeat protein	-	-	-	-	-	-	-	-	-	-	-	-	-	M:Cell wall/membrane/envelope biogenesis	GO:0005515	GO:0005515	"IPR002110,IPR027417,IPR031359,IPR036770,IPR056884"	"Ankyrin repeat; Ankyrin repeat-containing domain superfamily; NWD NACHT-NTPase, N-terminal; Nephrocystin 3-like, N-terminal; P-loop containing nucleoside triphosphate hydrolase"	Coils:Coil; Gene3D:G3DSA:1.25.40.20; Gene3D:G3DSA:3.40.50.300; PANTHER:PTHR10039; Pfam:PF00023; Pfam:PF12796; Pfam:PF17100; Pfam:PF24883; SMART:SM00248; SUPERFAMILY:SSF48403	10	1
Fusarium_aberrans__CBS_119866	g13.t2	1268	1051613.XP_003006287.1	1.29e-123	419.0	"COG0666@1|root,KOG4177@2759|Eukaryota,38BVK@33154|Opisthokonta,3NW9Q@4751|Fungi,3QJDH@4890|Ascomycota,214TU@147550|Sordariomycetes,1EZRM@1028384|Glomerellales"	4751|Fungi	M	Ankyrin repeat protein	-	-	-	-	-	-	-	-	-	-	-	-	-	M:Cell wall/membrane/envelope biogenesis	GO:0005515	GO:0005515	"IPR002110,IPR027417,IPR031359,IPR036770,IPR056884"	"Ankyrin repeat; Ankyrin repeat-containing domain superfamily; NWD NACHT-NTPase, N-terminal; Nephrocystin 3-like, N-terminal; P-loop containing nucleoside triphosphate hydrolase"	Coils:Coil; Gene3D:G3DSA:1.25.40.20; Gene3D:G3DSA:3.40.50.300; PANTHER:PTHR10039; Pfam:PF12796; Pfam:PF17100; Pfam:PF24883; SMART:SM00248; SUPERFAMILY:SSF48403	9	1
Fusarium_aberrans__CBS_119866	g14.t1	380	148304.MAPG_02210T0	3.04e-43	166.0	"2D3N4@1|root,2SS3X@2759|Eukaryota,3A068@33154|Opisthokonta,3P1UE@4751|Fungi,3QW6K@4890|Ascomycota,21B28@147550|Sordariomycetes,41PKU@639021|Magnaporthales"	4751|Fungi	S	Heterokaryon incompatibility protein	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	-	-	IPR052895	Heterokaryon Regulation/Transcriptional Modulator	PANTHER:PTHR24148	1	1
Fusarium_aberrans__CBS_119866	g14.t2	583	148304.MAPG_02210T0	3.63e-93	306.0	"2D3N4@1|root,2SS3X@2759|Eukaryota,3A068@33154|Opisthokonta,3P1UE@4751|Fungi,3QW6K@4890|Ascomycota,21B28@147550|Sordariomycetes,41PKU@639021|Magnaporthales"	4751|Fungi	S	Heterokaryon incompatibility protein	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	-	-	"IPR010730,IPR052895"	Heterokaryon Regulation/Transcriptional Modulator; Heterokaryon incompatibility	PANTHER:PTHR24148; Pfam:PF06985	2	1
Fusarium_aberrans__CBS_119866	g15.t1	351	5518.FGSG_08197P0	3.34e-59	199.0	"COG0666@1|root,KOG4177@2759|Eukaryota"	2759|Eukaryota	I	spectrin binding	-	-	-	ko:K04984	"ko04750,map04750"	-	-	-	"ko00000,ko00001,ko04040"	"1.A.4.6.1,1.A.4.6.2,1.A.4.6.3,1.A.4.6.5"	-	-	-	I:Lipid transport and metabolism	"GO:0005515,GO:0005737"	"GO:0005515,GO:0005737"	"IPR002110,IPR036770"	Ankyrin repeat; Ankyrin repeat-containing domain superfamily	Gene3D:G3DSA:1.25.40.20; PANTHER:PTHR24198; Pfam:PF12796; ProSiteProfiles:PS50088; ProSiteProfiles:PS50297; SMART:SM00248; SUPERFAMILY:SSF48403	7	1
Fusarium_aberrans__CBS_119866	g16.t1	335	5507.FOXG_13437P0	5.41e-181	510.0	"28K5W@1|root,2QSKG@2759|Eukaryota,39GXX@33154|Opisthokonta,3NUA9@4751|Fungi,3QKTH@4890|Ascomycota,2147F@147550|Sordariomycetes,3TPTV@5125|Hypocreales,1FX0E@110618|Nectriaceae"	4751|Fungi	S	Methyltransferase domain	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	GO:0008168	GO:0008168	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	Gene3D:G3DSA:3.40.50.150; PANTHER:PTHR43591; Pfam:PF13489; SUPERFAMILY:SSF53335	4	1
Fusarium_aberrans__CBS_119866	g17.t1	640	5127.CCT72004	0.0	1088.0	"COG3207@1|root,2RNZ1@2759|Eukaryota,39SKA@33154|Opisthokonta,3NVMF@4751|Fungi,3QQ1P@4890|Ascomycota,214DS@147550|Sordariomycetes,3TG15@5125|Hypocreales,1FRK3@110618|Nectriaceae"	4751|Fungi	Q	Pyoverdine/dityrosine biosynthesis protein	-	-	-	-	-	-	-	-	-	-	-	-	-	"Q:Secondary metabolites biosynthesis, transport and catabolism"	GO:0016491	GO:0016491	"IPR003819,IPR007817,IPR042098"	Isocyanide synthase/Spore wall maturation protein DIT1; TauD/TfdA-like domain; Taurine dioxygenase TauD-like superfamily	Gene3D:G3DSA:3.60.130.10; PANTHER:PTHR37285; Pfam:PF02668; Pfam:PF05141; SUPERFAMILY:SSF51197	5	1
Fusarium_aberrans__CBS_119866	g18.t1	498	117187.FVEG_07692T0	1e-286	792.0	"COG0654@1|root,KOG3855@2759|Eukaryota,39VFJ@33154|Opisthokonta,3P070@4751|Fungi,3QNY1@4890|Ascomycota,211JX@147550|Sordariomycetes,3TGYK@5125|Hypocreales,1FM1U@110618|Nectriaceae"	4751|Fungi	CH	FAD binding domain	-	-	-	-	-	-	-	-	-	-	-	-	-	C:Energy production and conversion; H:Coenzyme transport and metabolism	"GO:0016491,GO:0071949"	"GO:0016491,GO:0071949"	"IPR002938,IPR036188,IPR050641"	FAD-binding domain; FAD/NAD(P)-binding domain superfamily; Rifampicin monooxygenase-like	Gene3D:G3DSA:3.30.9.10; Gene3D:G3DSA:3.40.30.120; Gene3D:G3DSA:3.50.50.60; PANTHER:PTHR43004; PRINTS:PR00420; Pfam:PF01494; SUPERFAMILY:SSF51905; SUPERFAMILY:SSF54373	8	1
Fusarium_aberrans__CBS_119866	g19.t1	415	5127.CCT72006	1.19e-222	623.0	"KOG2504@1|root,KOG2504@2759|Eukaryota,39S9J@33154|Opisthokonta,3NWXD@4751|Fungi,3QNFA@4890|Ascomycota,215W9@147550|Sordariomycetes,3TJTZ@5125|Hypocreales,1FM26@110618|Nectriaceae"	4751|Fungi	G	Major Facilitator Superfamily	-	-	-	-	-	-	-	-	-	-	-	-	-	G:Carbohydrate transport and metabolism	"GO:0022857,GO:0055085"	"GO:0022857,GO:0055085"	"IPR011701,IPR020846,IPR036259,IPR050327"	MFS transporter superfamily; Major facilitator superfamily; Major facilitator superfamily domain; Proton-linked Monocarboxylate Transporter	Gene3D:G3DSA:1.20.1250.20; PANTHER:PTHR11360; Pfam:PF07690; ProSiteProfiles:PS50850; SUPERFAMILY:SSF103473	5	1
Fusarium_aberrans__CBS_119866	g20.t1	316	101028.EKJ69696	4.16e-171	484.0	"2CYJX@1|root,2S4UX@2759|Eukaryota,38EGU@33154|Opisthokonta,3P09Z@4751|Fungi,3QRSU@4890|Ascomycota,2183D@147550|Sordariomycetes,3TFV0@5125|Hypocreales,1FXV5@110618|Nectriaceae"	4751|Fungi	S	Thioesterase-like superfamily	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	-	-	"IPR042171,IPR049449,IPR049450,IPR052389"	"Acyl-CoA thioesterase, double hotdog domain; Acyl-CoA thioesterase-like, C-terminal domain; Acyl-CoA thioesterase-like, N-terminal HotDog domain; Secondary Metabolite Biosynthesis-Associated"	Gene3D:G3DSA:2.40.160.210; PANTHER:PTHR38110; Pfam:PF13622; Pfam:PF20789	4	1
Fusarium_aberrans__CBS_119866	g21.t1	382	117187.FVEG_14001T0	2e-226	629.0	"2EDXF@1|root,2SJFM@2759|Eukaryota,39Z6G@33154|Opisthokonta,3P15K@4751|Fungi,3QN4Y@4890|Ascomycota,2128I@147550|Sordariomycetes,3TM4F@5125|Hypocreales,1FS4B@110618|Nectriaceae"	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"IPR049326,IPR052337"	"Rhodopsin domain, fungi; Satratoxin biosynthesis SC1 cluster protein 4-like"	PANTHER:PTHR33048; Pfam:PF20684	2	1
Fusarium_aberrans__CBS_119866	g22.t1	522	140110.NechaP46422	0.0	920.0	"COG2124@1|root,KOG0157@2759|Eukaryota,39V0R@33154|Opisthokonta,3P0NF@4751|Fungi,3QP6E@4890|Ascomycota,217HC@147550|Sordariomycetes,3TUNM@5125|Hypocreales,1FW5S@110618|Nectriaceae"	4751|Fungi	Q	Belongs to the cytochrome P450 family	-	-	-	-	-	-	-	-	-	-	-	-	-	"Q:Secondary metabolites biosynthesis, transport and catabolism"	"GO:0004497,GO:0005506,GO:0016705,GO:0020037"	"GO:0004497,GO:0005506,GO:0016705,GO:0020037"	"IPR001128,IPR002401,IPR017972,IPR036396,IPR050121"	"Cytochrome P450; Cytochrome P450 monooxygenase; Cytochrome P450 superfamily; Cytochrome P450, E-class, group I; Cytochrome P450, conserved site"	Gene3D:G3DSA:1.10.630.10; PANTHER:PTHR24305; PRINTS:PR00385; PRINTS:PR00463; Pfam:PF00067; ProSitePatterns:PS00086; SUPERFAMILY:SSF48264	7	1
Fusarium_aberrans__CBS_119866	g23.t1	177	101028.EKJ72014	5.45e-45	163.0	"COG1062@1|root,KOG0022@2759|Eukaryota,39XTZ@33154|Opisthokonta,3NZY2@4751|Fungi,3QS2C@4890|Ascomycota,21RVQ@147550|Sordariomycetes,3TUNU@5125|Hypocreales,1FPUG@110618|Nectriaceae"	4751|Fungi	Q	Zinc-binding dehydrogenase	-	-	1.1.1.1	ko:K13953	"ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220"	-	"R00623,R00754,R02124,R04880,R05233,R05234,R06917,R06927,R07105,R08281,R08306,R08310"	"RC00050,RC00087,RC00088,RC00099,RC00116,RC00649,RC01734,RC02273"	"ko00000,ko00001,ko01000"	-	-	-	-	"Q:Secondary metabolites biosynthesis, transport and catabolism"	-	-	-	-	-	0	0
Fusarium_aberrans__CBS_119866	g24.t1	168	101028.EKJ73166	4.47e-55	190.0	"2EBSU@1|root,2SHTF@2759|Eukaryota,3A1Z8@33154|Opisthokonta,3P16U@4751|Fungi,3QTR9@4890|Ascomycota,21PAZ@147550|Sordariomycetes,3TNC9@5125|Hypocreales,1FZ8S@110618|Nectriaceae"	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0
Fusarium_aberrans__CBS_119866	g25.t1	610	5518.FGSG_09054P0	0.0	994.0	"COG2072@1|root,KOG1399@2759|Eukaryota,39UT7@33154|Opisthokonta,3NYC2@4751|Fungi,3QQ76@4890|Ascomycota,215N3@147550|Sordariomycetes,3TGPG@5125|Hypocreales,1FRT5@110618|Nectriaceae"	4751|Fungi	Q	L-lysine 6-monooxygenase (NADPH-requiring)	-	-	-	-	-	-	-	-	-	-	-	-	-	"Q:Secondary metabolites biosynthesis, transport and catabolism"	"GO:0004499,GO:0050660,GO:0050661"	"GO:0004499,GO:0050660,GO:0050661"	"IPR020946,IPR036188,IPR050346"	FAD/NAD(P)-binding domain superfamily; Flavin monooxygenase-like; Flavin-containing monooxygenases-like	Gene3D:G3DSA:3.50.50.60; PANTHER:PTHR23023; Pfam:PF00743; SUPERFAMILY:SSF51905	4	1
Fusarium_aberrans__CBS_119866	g26.t1	678	5127.CCT73944	0.0	1026.0	"KOG0039@1|root,KOG0039@2759|Eukaryota,38BU6@33154|Opisthokonta,3NUVZ@4751|Fungi,3QSAD@4890|Ascomycota,21482@147550|Sordariomycetes,3TKAH@5125|Hypocreales,1FNE0@110618|Nectriaceae"	4751|Fungi	PQ	Ferric reductase like transmembrane component	-	-	-	-	-	-	-	-	-	-	-	-	-	"P:Inorganic ion transport and metabolism; Q:Secondary metabolites biosynthesis, transport and catabolism"	"GO:0000293,GO:0005886,GO:0006826,GO:0006879,GO:0015677,GO:0016491"	"GO:0000293,GO:0005886,GO:0006826,GO:0006879,GO:0015677,GO:0016491"	"IPR013112,IPR013130,IPR017927,IPR039261,IPR051410"	"FAD-binding 8; FAD-binding domain, ferredoxin reductase-type; Ferredoxin-NADP reductase (FNR), nucleotide-binding domain; Ferric reductase transmembrane component-like domain; Ferric/Cupric Reductase Transmembrane Component"	Gene3D:G3DSA:3.40.50.80; PANTHER:PTHR32361; Pfam:PF01794; Pfam:PF08022; ProSiteProfiles:PS51384; SUPERFAMILY:SSF52343	6	1
Fusarium_aberrans__CBS_119866	g27.t1	998	101028.EKJ67610	0.0	979.0	"COG3325@1|root,KOG2806@2759|Eukaryota,39U6S@33154|Opisthokonta,3NWIT@4751|Fungi,3QNK3@4890|Ascomycota,216HC@147550|Sordariomycetes,3TSQY@5125|Hypocreales,1FQ7C@110618|Nectriaceae"	4751|Fungi	G	Glyco_18	-	-	3.2.1.14	ko:K01183	"ko00520,ko01100,map00520,map01100"	-	"R01206,R02334"	RC00467	"ko00000,ko00001,ko01000"	-	GH18	-	-	G:Carbohydrate transport and metabolism	"GO:0005975,GO:0008061,GO:0008237"	"GO:0005975,GO:0008061,GO:0008237"	"IPR001002,IPR001223,IPR011583,IPR017853,IPR018371,IPR024079,IPR029070,IPR036861,IPR053214"	"Chitin-binding, type 1; Chitin-binding, type 1, conserved site; Chitinase II/V-like, catalytic domain; Chitinase insertion domain superfamily; Endochitinase-like superfamily; Glycoside hydrolase family 18, catalytic domain; Glycoside hydrolase superfamily; Metallopeptidase, catalytic domain superfamily; Secreted chitinase LysM12-like"	Gene3D:G3DSA:3.10.50.10; Gene3D:G3DSA:3.20.20.80; Gene3D:G3DSA:3.30.60.10; Gene3D:G3DSA:3.40.390.10; PANTHER:PTHR47700; Pfam:PF00187; Pfam:PF00704; ProSitePatterns:PS00026; ProSiteProfiles:PS50941; ProSiteProfiles:PS51910; SMART:SM00270; SMART:SM00636; SUPERFAMILY:SSF51445; SUPERFAMILY:SSF54556; SUPERFAMILY:SSF57016	15	1
Fusarium_aberrans__CBS_119866	g28.t1	561	5507.FOXG_17006P0	1.08e-299	829.0	"2D35Q@1|root,2SQAP@2759|Eukaryota,3AAE9@33154|Opisthokonta,3PAN7@4751|Fungi,3RJFJ@4890|Ascomycota,21Q7M@147550|Sordariomycetes,3TNE7@5125|Hypocreales"	4751|Fungi	O	Chitin binding domain	-	-	-	-	-	-	-	-	-	-	-	-	-	"O:Posttranslational modification, protein turnover, chaperones"	GO:0008061	GO:0008061	"IPR001002,IPR036861"	"Chitin-binding, type 1; Endochitinase-like superfamily"	Gene3D:G3DSA:3.30.60.10; PANTHER:PTHR46471; ProSiteProfiles:PS50941; SMART:SM00270; SUPERFAMILY:SSF57016	5	1
Fusarium_aberrans__CBS_119866	g29.t1	685	5518.FGSG_00103P0	0.0	1124.0	"COG0154@1|root,KOG1211@2759|Eukaryota,3AEG2@33154|Opisthokonta,3PA1U@4751|Fungi,3RK3G@4890|Ascomycota,213UX@147550|Sordariomycetes,3TG9V@5125|Hypocreales,1FS9U@110618|Nectriaceae"	4751|Fungi	J	Amidase	-	-	-	-	-	-	-	-	-	-	-	-	-	"J:Translation, ribosomal structure and biogenesis"	-	-	"IPR023631,IPR036928"	Amidase signature (AS) superfamily; Amidase signature domain	Gene3D:G3DSA:3.90.1300.10; PANTHER:PTHR42678; Pfam:PF01425; SUPERFAMILY:SSF75304	4	1
Fusarium_aberrans__CBS_119866	g30.t1	524	5127.CCT65220	1.76e-199	571.0	"2CN4U@1|root,2S3ZW@2759|Eukaryota,39X7F@33154|Opisthokonta,3P15B@4751|Fungi,3R2KK@4890|Ascomycota,218YB@147550|Sordariomycetes,3TK43@5125|Hypocreales,1FWXB@110618|Nectriaceae"	4751|Fungi	S	Fungal specific transcription factor domain	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	"GO:0000976,GO:0000981,GO:0003700,GO:0005634,GO:0006355,GO:0008270,GO:0045944"	"GO:0000976,GO:0000981,GO:0003700,GO:0005634,GO:0006355,GO:0008270,GO:0045944"	"IPR001138,IPR021858,IPR036864"	Fungal transcription factor; Zn(2)-C6 fungal-type DNA-binding domain superfamily; Zn(2)Cys(6) fungal-type DNA-binding domain	Gene3D:G3DSA:4.10.240.10; PANTHER:PTHR37534; Pfam:PF00172; Pfam:PF11951; ProSiteProfiles:PS50048; SMART:SM00066; SUPERFAMILY:SSF57701	7	1
Fusarium_aberrans__CBS_119866	g31.t1	431	5062.CADAORAP00006707	3.62e-27	122.0	"COG0666@1|root,KOG4177@2759|Eukaryota,39VF6@33154|Opisthokonta,3NZ3K@4751|Fungi,3QNR2@4890|Ascomycota,20DKP@147545|Eurotiomycetes"	4751|Fungi	S	HET domain protein	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	-	-	-	-	PANTHER:PTHR10622	1	1
